year,state,population
1997,NC,7656825
1997,ND,649716
1997,NE,1686418
1997,NH,1189425
1997,NJ,8218808
1997,NM,1774839
1997,NV,1764104
1997,NY,18656546
1997,OH,11277357
1997,OK,3372917
1997,OR,3304310
1997,PA,12227814
1997,RI,1025353
1997,SC,3859696
1997,SD,744223
1997,TN,5499233
1997,TX,19740317
1997,UT,2119784
1997,VA,6829183
1997,VT,597239
1997,WA,5674747
1997,WI,5266213
1997,WV,1819113
1997,WY,489451
1998,AK,619932
1998,AL,4404701
1998,AR,2626289
1998,AZ,4883342
1998,CA,32987675
1998,CO,4116639
1998,CT,3365352
1998,DC,565230
1998,DE,763335
1998,FL,15486559
1998,GA,7863536
1998,HI,1215233
1998,IA,2902872
1998,ID,1252330
1998,IL,12271847
1998,IN,5998880
1998,KS,2660598
1998,KY,3985390
1998,LA,4440344
1998,MA,6271838
1998,MD,5204464
1998,ME,1259127
1998,MI,9847942
1998,MN,4813412
1998,MO,5521765
1998,MS,2804834
1998,MT,892431
1998,NC,7809121
1998,ND,647532
1998,NE,1695816
1998,NH,1205940
1998,NJ,8287418
1998,NM,1793484
1998,NV,1853191
1998,NY,18755906
1998,OH,11311536
1998,OK,3405194
1998,OR,3352449
1998,PA,12245672
1998,RI,1031155
1998,SC,3919235
1998,SD,746058
1998,TN,5570045
1998,TX,20157531
1998,UT,2165960
1998,VA,6900918
1998,VT,600416
1998,WA,5769562
1998,WI,5297672
1998,WV,1815609
1998,WY,490787
1999,AK,624779
1999,AL,4430141
1999,AR,2651860
1999,AZ,5023823
1999,CA,33499204
1999,CO,4226018
1999,CT,3386401
1999,DC,570213
1999,DE,774990
1999,FL,15759421
1999,GA,8045965
1999,HI,1210300
1999,IA,2917634
1999,ID,1275674
1999,IL,12359020
1999,IN,6044969
1999,KS,2678338
1999,KY,4018053
1999,LA,4460811
1999,MA,6317345
1999,MD,5254509
1999,ME,1266808
1999,MI,9897116
1999,MN,4873481
1999,MO,5561948
1999,MS,2828408
1999,MT,897507
1999,NC,7949361
1999,ND,644259
1999,NE,1704764
1999,NH,1222014
1999,NJ,8359592
1999,NM,1808082
1999,NV,1934718
1999,NY,18882725
1999,OH,11335454
1999,OK,3437147
1999,OR,3393941
1999,PA,12263805
1999,RI,1040402
1999,SC,3974682
1999,SD,750412
1999,TN,5638706
1999,TX,20558220
1999,UT,2203482
1999,VA,7000174
1999,VT,604683
1999,WA,5842564
1999,WI,5332666
1999,WV,1811799
1999,WY,491780
2000,AK,627963
2000,AL,4452173
2000,AR,2678588
2000,AZ,5160586
2000,CA,33987977
2000,CO,4326921
2000,CT,3411777
2000,DC,572046
2000,DE,786373
2000,FL,16047515
2000,GA,8227303
2000,HI,1213519
2000,IA,2929067
2000,ID,1299430
2000,IL,12434161
2000,IN,6091866
2000,KS,2693681
2000,KY,4049021
2000,LA,4471885
2000,MA,6361104
2000,MD,5311034
2000,ME,1277072
2000,MI,9952450
2000,MN,4933692
2000,MO,5607285
2000,MS,2848353
2000,MT,903773
2000,NC,8081614
2000,ND,642023
2000,NE,1713820
2000,NH,1239882
2000,NJ,8430621
2000,NM,1821204
2000,NV,2018741
2000,NY,19001780
2000,OH,11363543
2000,OK,3454365
2000,OR,3429708
2000,PA,12284173
2000,RI,1050268
2000,SC,4024223
2000,SD,755844
2000,TN,5703719
2000,TX,20944499
2000,UT,2244502
2000,VA,7105817
2000,VT,609618
2000,WA,5910512
2000,WI,5373999
2000,WV,1807021
2000,WY,494300
2001,AK,633714
2001,AL,4467634
2001,AR,2691571
2001,AZ,5273477
2001,CA,34479458
2001,CO,4425687
2001,CT,3432835
2001,DC,574504
2001,DE,795699
2001,FL,16356966
2001,GA,8377038
2001,HI,1225948
2001,IA,2931997
2001,ID,1319962
2001,IL,12488445
2001,IN,6127760
2001,KS,2702162
2001,KY,4068132
2001,LA,4477875
2001,MA,6397634
2001,MD,5374691
2001,ME,1285692
2001,MI,9991120
2001,MN,4982796
2001,MO,5641142
2001,MS,2852994
2001,MT,906961
2001,NC,8210122
2001,ND,639062
2001,NE,1719836
2001,NH,1255517
2001,NJ,8492671
2001,NM,1831690
2001,NV,2098399
2001,NY,19082838
2001,OH,11387404
2001,OK,3467100
2001,OR,3467937
2001,PA,12298970
2001,RI,1057142
2001,SC,4064995
2001,SD,757972
2001,TN,5750789
2001,TX,21319622
2001,UT,2283715
2001,VA,7198362
2001,VT,612223
2001,WA,5985722
2001,WI,5406835
2001,WV,1801481
2001,WY,494657
2002,AK,642337
2002,AL,4480089
2002,AR,2705927
2002,AZ,5396255
2002,CA,34871843
2002,CO,4490406
2002,CT,3458749
2002,DC,573158
2002,DE,806169
2002,FL,16689370
2002,GA,8508256
2002,HI,1239613
2002,IA,2934234
2002,ID,1340372
2002,IL,12525556
2002,IN,6155967
2002,KS,2713535
2002,KY,4089875
2002,LA,4497267
2002,MA,6417206
2002,MD,5440389
2002,ME,1295960
2002,MI,10015710
2002,MN,5018935
2002,MO,5674825
2002,MS,2858681
2002,MT,911667
2002,NC,8326201
2002,ND,638168
2002,NE,1728292
2002,NH,1269089
2002,NJ,8552643
2002,NM,1855309
2002,NV,2173791
2002,NY,19137800
2002,OH,11407889
2002,OK,3489080
2002,OR,3513424
2002,PA,12331031
2002,RI,1065995
2002,SC,4107795
2002,SD,760020
2002,TN,5795918
2002,TX,21690325
2002,UT,2324815
2002,VA,7286873
2002,VT,615442
2002,WA,6052349
2002,WI,5445162
2002,WV,1805414
2002,WY,500017
2003,AK,648414
2003,AL,4503491
2003,AR,2724816
2003,AZ,5510364
2003,CA,35253159
2003,CO,4528732
2003,CT,3484336
2003,DC,568502
2003,DE,818003
2003,FL,17004085
2003,GA,8622793
2003,HI,1251154
2003,IA,2941999
2003,ID,1363380
2003,IL,12556006
2003,IN,6196638
2003,KS,2723004
2003,KY,4117170
2003,LA,4521042
2003,MA,6422565
2003,MD,5496269
2003,ME,1306513
2003,MI,10041152
2003,MN,5053572
2003,MO,5709403
2003,MS,2868312
2003,MT,919630
2003,NC,8422501
2003,ND,638817
2003,NE,1738643
2003,NH,1279840
2003,NJ,8601402
2003,NM,1877574
2003,NV,2248850
2003,NY,19175939
2003,OH,11434788
2003,OK,3504892
2003,OR,3547376
2003,PA,12374658
2003,RI,1071342
2003,SC,4150297
2003,SD,763729
2003,TN,5847812
2003,TX,22030931
2003,UT,2360137
2003,VA,7366977
2003,VT,617858
2003,WA,6104115
2003,WI,5479203
2003,WV,1812295
2003,WY,503453
2004,AK,659286
2004,AL,4530729
2004,AR,2749686
2004,AZ,5652404
2004,CA,35574576
2004,CO,4575013
2004,CT,3496094
2004,DC,567754
2004,DE,830803
2004,FL,17415318
2004,GA,8769252
2004,HI,1273569
2004,IA,2953635
2004,ID,1391802
2004,IL,12589773
2004,IN,6233007
2004,KS,2734373
2004,KY,4146101
2004,LA,4552238
2004,MA,6412281
2004,MD,5546935
2004,ME,1313688
2004,MI,10055315
2004,MN,5087713
2004,MO,5747741
2004,MS,2889010
2004,MT,930009
2004,NC,8553152
2004,ND,644705
2004,NE,1749370
2004,NH,1290121
2004,NJ,8634561
2004,NM,1903808
2004,NV,2346222
2004,NY,19171567
2004,OH,11452251
2004,OK,3525233
2004,OR,3569463
2004,PA,12410722
2004,RI,1074579
2004,SC,4210921
2004,SD,770396
2004,TN,5910809
2004,TX,22394023
2004,UT,2401580
2004,VA,7475575
2004,VT,619920
2004,WA,6178645
2004,WI,5514026
2004,WV,1816438
2004,WY,509106
2005,AK,666946
2005,AL,4565917
2005,AR,2781097
2005,AZ,5839077
2005,CA,35827943
2005,CO,4631888
2005,CT,3506956
2005,DC,567136
2005,DE,845150
2005,FL,17842038
2005,GA,8925922
2005,HI,1292729
2005,IA,2964454
2005,ID,1428241
2005,IL,12609903
2005,IN,6278616
2005,KR,203937
2005,KS,2745299
2005,KY,4182742
2005,LA,4411396
2005,MA,6403290
2005,MD,5592379
2005,ME,1318787
2005,MI,10051137
2005,MN,5119598
2005,MO,5790300
2005,MS,2876229
2005,MT,940102
2005,NC,8705407
2005,ND,646089
2005,NE,1761497
2005,NH,1298492
2005,NJ,8651974
2005,NM,1932274
2005,NV,2432143
2005,NY,19132610
2005,OH,11463320
2005,OK,3548597
2005,OR,3613202
2005,PA,12449990
2005,RI,1067916
2005,SC,4270150
2005,SD,775493
2005,TN,5991057
2005,TX,22773020
2005,UT,2457719
2005,VA,7577105
2005,VT,621215
2005,WA,6257305
2005,WI,5546166
2005,WV,1820492
2005,WY,514157
2006,AK,675302
2006,AL,4628981
2006,AR,2821761
2006,AZ,6029141
2006,CA,36021202
2006,CO,4720423
2006,CT,3517460
2006,DC,570681
2006,DE,859268
2006,FL,18166990
2006,GA,9155813
2006,HI,1309731
2006,IA,2982644
2006,ID,1468669
2006,IL,12643955
2006,IN,6332669
2006,KS,2762931
2006,KY,4219239
2006,LA,4302665
2006,MA,6410084
2006,MD,5627367
2006,ME,1323619
2006,MI,10036081
2006,MN,5163555
2006,MO,5842704
2006,MS,2904978
2006,MT,952692
2006,NC,8917270
2006,ND,649422
2006,NE,1772693
2006,NH,1308389
2006,NJ,8661679
2006,NM,1962137
2006,NV,2522658
2006,NY,19104631
2006,OH,11481213
2006,OK,3594090
2006,OR,3670883
2006,PA,12510809
2006,RI,1063096
2006,SC,4357847
2006,SD,783033
2006,TN,6088766
2006,TX,23359580
2006,UT,2525507
2006,VA,7673725
2006,VT,622892
2006,WA,6370753
2006,WI,5577655
2006,WV,1827912
2006,WY,522667
2007,AK,680300
2007,AL,4672840
2007,AR,2848650
2007,AZ,6167681
2007,CA,36250311
2007,CO,4803868
2007,CT,3527270
2007,DC,574404
2007,DE,871749
2007,FL,18367842
2007,GA,9349988
2007,HI,1315675
2007,IA,2999212
2007,ID,1505105
2007,IL,12695866
2007,IN,6379599
2007,KS,2783785
2007,KY,4256672
2007,LA,4375581
2007,MA,6431559
2007,MD,5653408
2007,ME,1327040
2007,MI,10001284
2007,MN,5207203
2007,MO,5887612
2007,MS,2928350
2007,MT,964706
2007,NC,9118037
2007,ND,652822
2007,NE,1783440
2007,NH,1312540
2007,NJ,8677885
2007,NM,1990070
2007,NV,2601072
2007,NY,19132335
2007,OH,11500468
2007,OK,3634349
2007,OR,3722417
2007,PA,12563937
2007,RI,1057315
2007,SC,4444110
2007,SD,791623
2007,TN,6175727
2007,TX,23831983
2007,UT,2597746
2007,VA,7751000
2007,VT,623481
2007,WA,6461587
2007,WI,5610775
2007,WV,1834052
2007,WY,534876
2008,AK,687455
2008,AL,4718206
2008,AR,2874554
2008,AZ,6280362
2008,CA,36604337
2008,CO,4889730
2008,CT,3545579
2008,DC,580236
2008,DE,883874
2008,FL,18527305
2008,GA,9504843
2008,HI,1332213
2008,IA,3016734
2008,ID,1534320
2008,IL,12747038
2008,IN,6424806
2008,KS,2808076
2008,KY,4289878
2008,LA,4435586
2008,MA,6468967
2008,MD,5684965
2008,ME,1330509
2008,MI,9946889
2008,MN,5247018
2008,MO,5923916
2008,MS,2947806
2008,MT,976415
2008,NC,9309449
2008,ND,657569
2008,NE,1796378
2008,NH,1315906
2008,NJ,8711090
2008,NM,2010662
2008,NV,2653630
2008,NY,19212436
2008,OH,11515391
2008,OK,3668976
2008,OR,3768748
2008,PA,12612285
2008,RI,1055003
2008,SC,4528996
2008,SD,799124
2008,TN,6247411
2008,TX,24309039
2008,UT,2663029
2008,VA,7833496
2008,VT,624151
2008,WA,6562231
2008,WI,5640996
2008,WV,1840310
2008,WY,546043
2009,AK,698895
2009,AL,4757938
2009,AR,2896843
2009,AZ,6343154
2009,CA,36961229
2009,CO,4972195
2009,CT,3561807
2009,DC,592228
2009,DE,891730
2009,FL,18652644
2009,GA,9620846
2009,HI,1346717
2009,IA,3032870
2009,ID,1554439
2009,IL,12796778
2009,IN,6459325
2009,KS,2832704
2009,KY,4317074
2009,LA,4491648
2009,MA,6517613
2009,MD,5730388
2009,ME,1329590
2009,MI,9901591
2009,MN,5281203
2009,MO,5961088
2009,MS,2958774
2009,MT,983982
2009,NC,9449566
2009,ND,664968
2009,NE,1812683
2009,NH,1316102
2009,NJ,8755602
2009,NM,2036802
2009,NV,2684665
2009,NY,19307066
2009,OH,11528896
2009,OK,3717572
2009,OR,3808600
2009,PA,12666858
2009,RI,1053646
2009,SC,4589872
2009,SD,807067
2009,TN,6306019
2009,TX,24801761
2009,UT,2723421
2009,VA,7925937
2009,VT,624817
2009,WA,6667426
2009,WI,5669264
2009,WV,1847775
2009,WY,559851
2010,AK,714026
2010,AL,4788081
2010,AR,2921608
2010,AZ,6402172
2010,CA,37322860
2010,CO,5047145
2010,CT,3580397
2010,DC,604863
2010,DE,899782
2010,FL,18843093
2010,GA,9712592
2010,HI,1365018
2010,IA,3051494
2010,ID,1571271
2010,IL,12845651
2010,IN,6491454
2010,KS,2858825
2010,KY,4349251
2010,LA,4544928
2010,MA,6569701
2010,MD,5791559
2010,ME,1328010
2010,MI,9880313
2010,MN,5312209
2010,MO,5996222
2010,MS,2970442
2010,MT,990886
2010,NC,9571277
2010,ND,675050
2010,NE,1830136
2010,NH,1317134
2010,NJ,8809128
2010,NM,2064960
2010,NV,2702108
2010,NY,19419863
2010,OH,11542128
2010,OK,3759526
2010,OR,3837741
2010,PA,12716726
2010,RI,1054925
2010,SC,4634069
2010,SD,816075
2010,TN,6356365
2010,TX,25238866
2010,UT,2776098
2010,VA,8025154
2010,VT,626351
2010,WA,6743763
2010,WI,5692094
2010,WV,1854428
2010,WY,564429
2011,AK,722610
2011,AL,4812311
2011,AR,2938936
2011,AZ,6447287
2011,CA,37653337
2011,CO,5119705
2011,CT,3594525
2011,DC,617919
2011,DE,908309
2011,FL,19040534
2011,GA,9805864
2011,HI,1385040
2011,IA,3070205
2011,ID,1586608
2011,IL,12893479
2011,IN,6521740
2011,KS,2872711
2011,KY,4374688
2011,LA,4577373
2011,MA,6630477
2011,MD,5854468
2011,ME,1330080
2011,MI,9896397
2011,MN,5353021
2011,MO,6011737
2011,MS,2978033
2011,MT,998287
2011,NC,9642058
2011,ND,687105
2011,NE,1843859
2011,NH,1321998
2011,NJ,8877379
2011,NM,2082326
2011,NV,2710920
2011,NY,19601165
2011,OH,11559008
2011,OK,3786469
2011,OR,3873101
2011,PA,12773677
2011,RI,1058765
2011,SC,4663322
2011,SD,823139
2011,TN,6404474
2011,TX,25630837
2011,UT,2818441
2011,VA,8108207
2011,VT,629629
2011,WA,6831076
2011,WI,5713582
2011,WV,1857508
2011,WY,566898
2012,AK,731293
2012,AL,4839463
2012,AR,2949008
2012,AZ,6508584
2012,CA,37974434
2012,CO,5189492
2012,CT,3605729
2012,DC,631263
2012,DE,916823
2012,FL,19274146
2012,GA,9907486
2012,HI,1405271
2012,IA,3082954
2012,ID,1600106
2012,IL,12929231
2012,IN,6546884
2012,KS,2891541
2012,KY,4394720
2012,LA,4603999
2012,MA,6693498
2012,MD,5914093
2012,ME,1330995
2012,MI,9922016
2012,MN,5388955
2012,MO,6026931
2012,MS,2982537
2012,MT,1005513
2012,NC,9721096
2012,ND,705060
2012,NE,1859010
2012,NH,1327457
2012,NJ,8933878
2012,NM,2090451
2012,NV,2740507
2012,NY,19758027
2012,OH,11574520
2012,OK,3815060
2012,OR,3900726
2012,PA,12816841
2012,RI,1063778
2012,SC,4701891
2012,SD,832774
2012,TN,6463252
2012,TX,26056872
2012,UT,2860751
2012,VA,8197707
2012,VT,630795
2012,WA,6904891
2012,WI,5734585
2012,WV,1859012
2012,WY,575540
2013,AK,738288
2013,AL,4864598
2013,AR,2954791
2013,AZ,6564810
2013,CA,38296038
2013,CO,5264410
2013,CT,3610808
2013,DC,644892
2013,DE,925913
2013,FL,19510365
2013,GA,9981153
2013,HI,1423518
2013,IA,3102674
2013,ID,1618119
2013,IL,12962244
2013,IN,6581794
2013,KS,2902190
2013,KY,4416640
2013,LA,4628588
2013,MA,6757408
2013,MD,5962508
2013,ME,1332694
2013,MI,9948690
2013,MN,5431143
2013,MO,6044141
2013,MS,2986809
2013,MT,1016086
2013,NC,9801964
2013,ND,727366
2013,NE,1873526
2013,NH,1331251
2013,NJ,8985399
2013,NM,2096715
2013,NV,2770623
2013,NY,19893001
2013,OH,11613299
2013,OK,3847764
2013,OR,3924800
2013,PA,12848096
2013,RI,1068360
2013,SC,4741212
2013,SD,841107
2013,TN,6507686
2013,TX,26438948
2013,UT,2908385
2013,VA,8270503
2013,VT,632965
2013,WA,6975101
2013,WI,5757711
2013,WV,1856971
2013,WY,580983
2014,AK,737859
2014,AL,4886870
2014,AR,2961247
2014,AZ,6639874
2014,CA,38640488
2014,CO,5343818
2014,CT,3615128
2014,DC,654680
2014,DE,935476
2014,FL,19798068
2014,GA,10078167
2014,HI,1434580
2014,IA,3121957
2014,ID,1640256
2014,IL,12971447
2014,IN,6610377
2014,KS,2912032
2014,KY,4429473
2014,LA,4649031
2014,MA,6820127
2014,MD,6009034
2014,ME,1336605
2014,MI,9975858
2014,MN,5473986
2014,MO,6060439
2014,MS,2987798
2014,MT,1025173
2014,NC,9878202
2014,ND,744371
2014,NE,1890039
2014,NH,1339410
2014,NJ,9034241
2014,NM,2095241
2014,NV,2810296
2014,NY,20002920
2014,OH,11649926
2014,OK,3871075
2014,OR,3966087
2014,PA,12881526
2014,RI,1073243
2014,SC,4793110
2014,SD,847504
2014,TN,6558608
2014,TX,26908012
2014,UT,2950938
2014,VA,8334299
2014,VT,633950
2014,WA,7068832
2014,WI,5778715
2014,WV,1853340
2014,WY,580983
2015,AK,739305
2015,AL,4908173
2015,AR,2970399
2015,AZ,6716074
2015,CA,38969769
2015,CO,5442972
2015,CT,3612364
2015,DC,665747
2015,DE,944928
2015,FL,20148144
2015,GA,10191832
2015,HI,1446862
2015,IA,3136422
2015,ID,1662458
2015,IL,12965660
2015,IN,6628952
2015,KS,2923211
2015,KY,4444354
2015,LA,4670668
2015,MA,6865806
2015,MD,6049277
2015,ME,1335719
2015,MI,9988208
2015,MN,5510274
2015,MO,6076986
2015,MS,2985137
2015,MT,1034608
2015,NC,9963875
2015,ND,762686
2015,NE,1904556
2015,NH,1343799
2015,NJ,9076853
2015,NM,2096226
2015,NV,2857453
2015,NY,20090146
2015,OH,11675407
2015,OK,3900539
2015,OR,4019120
2015,PA,12899483
2015,RI,1077549
2015,SC,4853451
2015,SD,851959
2015,TN,6612788
2015,TX,27398609
2015,UT,2999375
2015,VA,8390504
2015,VT,635990
2015,WA,7181177
2015,WI,5794297
2015,WV,1846651
2015,WY,583719
